საგანი,datatype,data1,data2
ლიტერატურა,maximum,70,
ბიოლოგია,maximum,70,
ქიმია,maximum,63,
ფიზიკა,maximum,63,
გეოგრაფია,maximum,59,

ისტორია,maximum,60,
ისტორია,minimum,12.14,
ისტორია,anchor,34.35,151.3
ისტორია,anchor,16.00,126.9
ისტორია,anchor,35.12,152.3

უცხოური,maximum,70,
უცხოური,minimum,14.06,

მათემატიკა,maximum,51,
მათემატიკა,minimum,10.54,
მათემატიკა,anchor,47.00,186.6
მათემატიკა,anchor,46.00,185.3
მათემატიკა,anchor,42.51,180.4
მათემატიკა,anchor,37.00,172.8
მათემატიკა,anchor,31.00,164.5
მათემატიკა,anchor,26.26,158.0

ქართული,maximum,60,
ქართული,minimum,15.31,
ქართული,anchor,55.00,171.6
ქართული,anchor,35.60,145.6
ქართული,anchor,48.00,162.3
ქართული,anchor,54.64,171.2
ქართული,anchor,43.18,155.8
ქართული,anchor,18.77,123.1
ქართული,anchor,48.22,162.6
ქართული,anchor,24.34,130.5
